Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.35889000195551624,0.38721447036813106,0.4237132265342484,0.9540862222222222,0.35889000195551624,0.3403423288529557,"F.Filter_Gaussian1(F.Img_Multi(F.Sqrt_Image(F.Sqrt_Image(F.Log_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian5(F.Img_Div(R, B)))))))), F.Filter_Gaussian5(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Img_Div(R, B)))))))"
1,6.161429451632779e-06,0.0011111111111111111,3.0892801977139326e-06,0.9675616111111112,6.161429451632779e-06,-1.8302734198991644e-05,"F.Filter_Gaussian1(F.Half_Image(F.Img_Multi(F.Exp_Image(F.Sqrt_Image(F.Img_Div(G, I))), F.Filter_Gaussian2(REG))))"
2,0.0638274567613042,0.033389339482783977,0.9975199990447565,0.062032333333333335,0.0638274567613042,0.001506786843254192,"F.Filter_Gaussian1(F.Img_Multi(F.Sqrt_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(F.Exp_Image(F.Filter_Gaussian5(F.Img_Div(R, B))))))))), F.Sqrt_Image(F.Sqrt_Image(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian5(F.Exp_Image(F.Filter_Gaussian1(F.Img_Div(R, B)))))))))))"
3,0.0006704501507969989,0.023571428571428573,0.00034537106827151954,0.9675776111111111,0.0006704501507969989,0.0009580499043701402,"F.Sqrt_Image(F.Log_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Filter_Gaussian5(F.Img_Div(R, B))))))"
4,0.05318376721875897,0.057003549989855636,0.08089829311204078,0.922033388888889,0.05318376721875897,0.021543992760980357,"F.Img_Sub(F.Sqrt_Image(F.Half_Image(F.Img_Div(F.Exp_Image(F.Filter_Gaussian1(F.Filter_Gaussian5(F.Img_Div(R, B)))), F.Filter_Gaussian4(REG)))), F.Img_Sum(F.Log_Image(F.Img_Sum(F.Exp_Image(F.Exp_Image(F.Filter_Gaussian3(F.Img_Div(R, R)))), F.Img_Multi(NIR, R))), F.Filter_Gaussian1(B)))"
5,0.3523124052691358,0.3558764063058541,0.4414292240064887,0.9507839444444444,0.3523124052691358,0.32517205994838705,"F.Img_Multi(F.Sqrt_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(F.Img_Div(R, B))))))), F.Sqrt_Image(F.Log_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian5(F.Img_Div(R, B))))))))"
6,0.14489374185857426,0.4000535858474683,0.11049537300024864,0.9674758888888888,0.1448937418585743,0.16377300019852686,"F.Img_Multi(F.Sqrt_Image(F.Filter_Gaussian5(F.Img_Div(R, B))), F.Filter_Gaussian2(F.Sqrt_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(F.Log_Image(F.Filter_Gaussian5(F.Img_Div(R, B))))))))"
7,0.06208629225129084,0.03242933333333333,1.0,0.03242933333333333,0.06208629225129084,0.0,"F.Img_Div(F.Sqrt_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(F.Filter_Gaussian1(F.Img_Div(REG, R))))))), F.Sqrt_Image(F.Filter_Gaussian1(F.Filter_Gaussian2(F.Filter_Gaussian1(F.Filter_Gaussian1(F.Filter_Gaussian3(F.Half_Image(F.Exp_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(F.Img_Div(R, I))))))))))))"
8,0.3500791987939843,0.36877520474207887,0.4183078948772858,0.9532708333333333,0.3500791987939843,0.32953048918349354,"F.Filter_Gaussian5(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian5(F.Img_Div(R, B))))))"
9,0.3523124052691358,0.3558764063058541,0.4414292240064887,0.9507839444444444,0.3523124052691358,0.32517205994838705,"F.Img_Multi(F.Filter_Gaussian5(F.Img_Div(R, B)), F.Sqrt_Image(F.Log_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian5(F.Img_Div(R, B))))))))"
