Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.35416684503567913,0.3888479089875992,0.4043553875631045,0.9545917222222223,0.3541668450356792,0.33630619356142716,"F.Filter_Gaussian3(F.Filter_Gaussian3(F.Filter_Gaussian3(F.Filter_Gaussian3(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian1(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(R, B))))))))))))))"
1,0.06744338576376979,0.03538436093132055,0.9952642920875846,0.08675333333333335,0.06744338576376979,0.0029844675449179543,"F.Filter_Gaussian3(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B)))))))))"
2,0.02267915358443495,0.3012710168640602,0.01284794420178274,0.9665921666666668,0.02267915358443495,0.029055653231185766,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Sqrt_Image(F.Filter_Gaussian2(F.Sqrt_Image(F.Exp_Image(F.Img_Div(R, B)))))))))"
3,0.0149764549849866,0.20290331994371083,0.008452692143529781,0.9666605000000001,0.0149764549849866,0.019288841102080078,"F.Filter_Gaussian3(F.Log_Image(F.Sqrt_Image(F.Filter_Gaussian2(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(R, B))))))))"
4,0.3555375600635534,0.35163655343477657,0.4485316579138248,0.9493290555555555,0.3555375600635534,0.32498001865681514,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B)))))))"
5,0.33486004668124947,0.3393196822130393,0.40667629157166674,0.9497212777777777,0.33486004668124947,0.3079449649820102,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian1(F.Filter_Gaussian2(F.Sqrt_Image(F.Exp_Image(F.Img_Div(R, B)))))))))))"
6,0.35587924929912573,0.35280257981050894,0.4482058780753127,0.949448111111111,0.35587924929912584,0.325536660365906,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian1(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B))))))))))))))"
7,0.34155279854976195,0.37071092738895467,0.39418893451457904,0.9529029444444445,0.34155279854976184,0.3214501376244969,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian1(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Sqrt_Image(F.Exp_Image(F.Img_Div(R, B)))))))))))))"
8,0.06402455842866246,0.03348722222222222,1.0,0.03348722222222222,0.06402455842866246,0.0,"F.Filter_Gaussian3(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B)))))"
9,0.0,0.0,0.0,0.9665127777777778,0.0,0.0,"F.Log_Image(F.Sqrt_Image(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian1(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B)))))))))"
10,0.2117104459727699,0.4057004793236375,0.16712668657944843,0.9643096666666667,0.2117104459727699,0.2280747575575585,"F.Log_Image(F.Filter_Gaussian2(F.Img_Div(R, B)))"
11,0.3550232600138813,0.3687767162339954,0.42698949825478366,0.9517427222222223,0.3550232600138813,0.3300505984834268,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian1(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(R, B)))))))))))))"
12,0.3481425170946734,0.3396377652993482,0.4406445938635655,0.9484712222222221,0.3481425170946734,0.3167854998728492,"F.Log_Image(F.Filter_Gaussian2(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(R, B))))))))"
13,0.3555375600635534,0.35163655343477657,0.4485316579138248,0.9493290555555555,0.3555375600635534,0.32498001865681514,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B)))))))"
14,0.35756318771597934,0.3605118681887204,0.44399861002679475,0.9504195555555556,0.35756318771597934,0.3290820700296628,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B))))))))"
15,0.06746677154380962,0.03539750867673426,0.9950625174840616,0.08728861111111112,0.0674667715438096,0.003005041551025176,"F.Filter_Gaussian3(F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(R, B))))))))))"
16,0.0255548500684273,0.40605363323631666,0.01423520288739508,0.9666195555555555,0.0255548500684273,0.03307661734031806,"F.Log_Image(F.Sqrt_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(R, B))))))"
17,0.06148963661604568,0.03288165648868893,0.6571668166823157,0.3322003333333333,0.061489636616045694,-0.0009513103323293237,"F.Img_Sub(F.Filter_Gaussian2(F.Sqrt_Image(F.Filter_Gaussian1(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(REG, REG)))))), F.Filter_Gaussian4(G))"
18,0.35033734705891306,0.337317915250841,0.45085995533897183,0.9477779444444445,0.35033734705891306,0.317269010387982,"F.Log_Image(F.Sqrt_Image(F.Exp_Image(F.Sqrt_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(F.Img_Div(R, B))))))))"
19,0.2117104459727699,0.4057004793236375,0.16712668657944843,0.9643096666666667,0.2117104459727699,0.2280747575575585,"F.Log_Image(F.Filter_Gaussian2(F.Img_Div(R, B)))"
