Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.27903877208047406,0.34878993052675256,0.6295809537007181,0.7892788333333333,0.27903877208047406,0.2438404590302563,"F.Filter_Gaussian(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))))"
1,0.24786044555730236,0.25803340137991315,0.622613163053207,0.7812961111111111,0.24786044555730236,0.20263539985221793,"F.Log_Image(F.Img_Div(R, B))"
2,0.24786044555730236,0.25803340137991315,0.622613163053207,0.7812961111111111,0.24786044555730236,0.20263539985221793,"F.Log_Image(F.Img_Div(R, B))"
3,0.24786044555730236,0.25803340137991315,0.622613163053207,0.7812961111111111,0.24786044555730236,0.20263539985221793,"F.Log_Image(F.Img_Div(R, B))"
4,0.27903877208047406,0.34878993052675256,0.6295809537007181,0.7892788333333333,0.27903877208047406,0.2438404590302563,"F.Filter_Gaussian(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))))"
5,0.22516620647380692,0.38813602803691183,0.2943701736475239,0.945940111111111,0.22516620647380692,0.21723966613120324,"F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B)))"
6,0.22516620647380692,0.38813602803691183,0.2943701736475239,0.945940111111111,0.22516620647380692,0.21723966613120324,"F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B)))"
7,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))"
8,0.22154036869340163,0.37413989609305065,0.28238149067438995,0.9499997222222223,0.22154036869340163,0.21597340602408976,"F.Filter_Gaussian(F.Filter_Gaussian(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B)))))"
9,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))"
10,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))"
11,0.06258790347305697,0.032709888888888886,1.0,0.032709888888888886,0.06258790347305697,0.0,"F.Img_Div(F.Img_Sum(F.Half_Image(R), F.Exp_Image(B)), F.Filter_Gaussian(R))"
12,0.0,0.0,0.0,0.9672901111111112,0.0,0.0,"F.Img_Div(F.Filter_Gaussian(F.Filter_Gaussian(F.Log_Image(F.Img_Div(B, B)))), F.Img_Sum(B, F.Exp_Image(G)))"
13,0.24786044555730236,0.25803340137991315,0.622613163053207,0.7812961111111111,0.24786044555730236,0.20263539985221793,"F.Log_Image(F.Img_Div(R, B))"
14,0.27903877208047406,0.34878993052675256,0.6295809537007181,0.7892788333333333,0.27903877208047406,0.2438404590302563,"F.Filter_Gaussian(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))))"
15,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))"
16,0.22387455071028917,0.3697137654800058,0.28768669004212727,0.9486391111111111,0.22387455071028917,0.21759973682843675,"F.Filter_Gaussian(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))))"
17,0.0,0.0,0.0,0.9672866111111111,0.0,-1.0178251879496837e-05,"F.Half_Image(F.Img_Div(I, R))"
18,0.062350760381251875,0.03264705278139038,0.9576801061039201,0.06874355555555554,0.062350760381251875,-9.373715019548313e-05,"F.Img_Div(F.Img_Multi(F.DX(R), F.Exp_Image(R)), F.DX(G))"
19,0.0,0.0,0.0,0.9672901111111112,0.0,0.0,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))))"
20,0.06258791630790399,0.032709895935880764,1.0,0.03271005555555556,0.06258791630790399,1.1110634876576598e-08,"F.Img_Div(R, B)"
21,0.06258790347305697,0.032709888888888886,1.0,0.032709888888888886,0.06258790347305697,0.0,F.Filter_Gaussian(F.Sqrt_Image(F.Log_Image(R)))
22,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))"
23,0.22154036869340163,0.37413989609305065,0.28238149067438995,0.9499997222222223,0.22154036869340163,0.21597340602408976,"F.Filter_Gaussian(F.Filter_Gaussian(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B)))))"
