Individual,Fitness,Tree
0,0.026835216950768556,"F.Filter_Gaussian(F.Img_Div(F.Img_Div(F.Img_Sub(B, I), F.Img_Multi(F.DY(F.Img_Div(R, B)), R)), B))"
1,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
2,0.09360778775165127,"F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(R, R))"
3,0.06324344648720545,F.Filter_Gaussian(F.DX(R))
4,0.03736669960562721,"F.Filter_Gaussian(F.Img_Sum(I, G))"
5,0.006048275897822192,"F.Filter_Gaussian(F.Img_Div(F.Img_Div(F.Img_Sum(B, G), F.Img_Div(R, B)), B))"
6,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
7,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
8,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
9,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
10,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
11,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
12,0.08101354365575295,"F.Filter_Gaussian(F.Img_Div(F.Filter_Gaussian(G), F.Img_Sum(I, I)))"
13,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
14,0.05195351262616823,"F.Filter_Gaussian(F.Img_Div(F.Img_Sub(I, G), B))"
15,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
16,0.0,"F.Filter_Gaussian(F.Img_Div(G, G))"
17,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
18,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
19,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
20,0.01508581048467871,"F.Filter_Gaussian(F.Img_Div(F.Img_Sum(F.Img_Multi(I, R), F.DX(I)), F.DY(F.Img_Div(B, B))))"
21,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
22,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
23,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
24,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
25,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
26,0.07482188133669711,"F.DX(F.Img_Div(R, B))"
27,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
28,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
29,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
30,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
31,0.0609128025323785,F.DX(F.DY(R))
32,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
33,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
34,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
35,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
36,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
37,0.05288838412161817,"F.Img_Sum(F.DY(I), F.Img_Sum(B, I))"
38,0.04925787784646064,"F.Img_Div(F.Filter_Gaussian(I), F.Filter_Gaussian(G))"
39,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
40,0.23303567629047145,"F.Filter_Gaussian(F.Img_Div(F.Filter_Gaussian(G), B))"
41,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
42,0.27165252843816884,"F.Filter_Gaussian(F.Img_Div(I, B))"
43,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
44,0.04447139843403782,"F.Filter_Gaussian(F.Img_Div(R, F.DY(R)))"
45,0.054869710306399255,"F.Filter_Gaussian(F.DY(F.Img_Multi(G, B)))"
46,0.014268269255978716,"F.Filter_Gaussian(F.Img_Div(F.Img_Div(R, R), F.DY(I)))"
47,0.05479875923871806,"F.Filter_Gaussian(F.DY(F.Img_Multi(R, R)))"
48,0.30156912602532254,"F.Filter_Gaussian(F.Img_Div(R, B))"
49,0.02095647825089806,"F.Img_Sum(F.Img_Sum(F.Img_Multi(F.Img_Sum(B, G), F.Img_Multi(G, B)), B), F.Img_Div(R, G))"
50,0.026835216950768556,"F.Filter_Gaussian(F.Img_Div(F.Img_Div(F.Img_Sub(B, I), F.Img_Multi(F.DY(F.Img_Div(R, B)), R)), B))"
