Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.39018882638606867,0.44685249879443434,0.44158646163021137,0.9585063333333333,0.39018882638606867,0.37621336886841233,"F.Img_Multi(F.Img_Div(F.Img_Sum(F.Filter_Gaussian2(R), F.Filter_Gaussian2(R)), F.Filter_Gaussian2(F.Img_Div(F.Img_Sum(F.Log_Image(F.Filter_Gaussian5(B)), F.Img_Sub(G, F.Filter_Gaussian5(B))), F.Filter_Gaussian2(R)))), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian2(R))), F.Filter_Gaussian5(B)))))"
1,0.39018882638606867,0.44685249879443434,0.44158646163021137,0.9585063333333333,0.39018882638606867,0.37621336886841233,"F.Img_Multi(F.Img_Div(F.Img_Sum(F.Filter_Gaussian2(R), F.Filter_Gaussian2(R)), F.Filter_Gaussian2(F.Img_Div(F.Img_Sum(F.Log_Image(F.Filter_Gaussian5(B)), F.Img_Sub(G, F.Filter_Gaussian5(B))), F.Filter_Gaussian2(R)))), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian2(R))), F.Filter_Gaussian5(B)))))"
2,0.3890307567167334,0.4336245549090422,0.4548455275336113,0.9567991666666665,0.3890307567167334,0.37129045388811766,"F.Img_Div(F.Img_Multi(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B)))), F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B)))"
3,0.3890307567167334,0.4336245549090422,0.4548455275336113,0.9567991666666665,0.3890307567167334,0.37129045388811766,"F.Img_Div(F.Img_Multi(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B)))), F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B)))"
4,0.3890307567167334,0.4336245549090422,0.4548455275336113,0.9567991666666665,0.3890307567167334,0.37129045388811766,"F.Img_Div(F.Img_Multi(F.Img_Div(F.Img_Sum(F.Filter_Gaussian2(F.Img_Div(F.Img_Sum(F.Log_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(B))), F.Img_Div(F.Filter_Gaussian2(R), F.Img_Div(F.Img_Sum(F.Log_Image(F.Filter_Gaussian5(F.Filter_Gaussian5(B))), F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B))), F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B)), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B)))), F.Img_Sum(B, B))"
5,0.0,0.0,0.0,0.9672901111111112,0.0,0.0,"F.Img_Div(F.Img_Multi(F.Img_Div(F.Img_Sum(F.Half_Image(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Img_Div(F.Img_Multi(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)), F.Half_Image(F.Img_Div(F.Filter_Gaussian5(B), F.Filter_Gaussian5(B)))), F.Img_Sum(B, B))))), F.Img_Sub(G, F.Filter_Gaussian5(B))), F.Filter_Gaussian2(R)), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Filter_Gaussian2(R))))), F.Filter_Gaussian2(R))), F.Filter_Gaussian5(B)), F.Filter_Gaussian2(R)))), F.Img_Sum(F.Filter_Gaussian2(F.Img_Div(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)))"
6,0.3852171739865753,0.4510844616398875,0.42847458618223155,0.9588297777777777,0.3852171739865753,0.37354007816845436,"F.Img_Div(F.Img_Multi(F.Img_Div(F.Img_Sum(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Img_Sub(G, F.Filter_Gaussian5(B))), F.Filter_Gaussian2(R)), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian2(R))), F.Filter_Gaussian5(B)), F.Filter_Gaussian2(R)))), F.Img_Sum(F.Filter_Gaussian2(F.Img_Div(F.Exp_Image(F.Img_Div(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)))"
7,0.05447527335104732,0.03521918479600117,0.17401128786407558,0.7952855555555556,0.05447527335104732,0.002745136048419083,"F.Img_Sub(F.Img_Div(F.Img_Sum(F.Filter_Gaussian2(B), F.Filter_Gaussian5(I)), F.Filter_Gaussian2(F.Img_Div(F.Img_Sum(F.Log_Image(F.Filter_Gaussian5(B)), F.Img_Sub(G, F.Filter_Gaussian5(NIR))), F.Filter_Gaussian2(REG)))), F.Log_Image(F.DY(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Img_Sub(F.Half_Image(F.Exp_Image(F.Filter_Gaussian3(F.Img_Div(F.Filter_Gaussian2(REG), F.Filter_Gaussian2(I))))), F.DY(R)), F.Filter_Gaussian5(R))), F.Filter_Gaussian5(G)))))"
8,0.3795947564548443,0.4481795185943285,0.42410145877788985,0.9585256111111111,0.37959475645484436,0.3679145495828924,"F.Img_Multi(F.Img_Div(F.Img_Sum(F.Filter_Gaussian2(R), F.Filter_Gaussian2(R)), F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian2(R)))), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Filter_Gaussian2(R)), F.Filter_Gaussian5(B)))))))))"
9,0.39008744039446214,0.44635443022727417,0.4417804760828831,0.9584680555555556,0.39008744039446214,0.37601007841400147,"F.Img_Multi(F.Img_Div(F.Img_Sum(F.Filter_Gaussian2(R), F.Img_Sum(F.Log_Image(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B))), F.Img_Sub(G, F.Filter_Gaussian5(B)))), F.Filter_Gaussian2(F.Img_Div(F.Img_Sum(F.Log_Image(F.Filter_Gaussian5(B)), F.Img_Sub(G, F.Filter_Gaussian5(B))), F.Filter_Gaussian2(R)))), F.Sqrt_Image(F.Img_Sum(F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian5(B))), F.Filter_Gaussian5(B)), F.Img_Div(F.Filter_Gaussian2(F.Img_Div(F.Half_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian2(F.Img_Div(F.Filter_Gaussian2(R), F.Filter_Gaussian5(B)))))), F.Filter_Gaussian2(R))), F.Filter_Gaussian5(B)))))"
