Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.2957609588708634,0.333059217965818,0.6175739234682873,0.8271828888888888,0.2957609588708634,0.25890449046350766,"F.Log_Image(F.Filter_Gaussian(F.Img_Div(F.Img_Multi(F.Sqrt_Image(F.Img_Multi(F.Filter_Gaussian(F.Sqrt_Image(F.DY(F.Half_Image(F.Img_Div(R, B))))), F.Img_Div(F.Sqrt_Image(F.Filter_Gaussian(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))))), F.Img_Div(F.Log_Image(F.Img_Div(R, B)), F.Exp_Image(I))))), F.Filter_Gaussian(I)), F.Exp_Image(I))))"
1,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Img_Div(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))), F.Img_Div(F.Img_Multi(F.Sqrt_Image(F.Sqrt_Image(F.Half_Image(F.Img_Div(R, B)))), F.Filter_Gaussian(I)), F.Img_Multi(F.Half_Image(F.Half_Image(F.Log_Image(F.DY(F.Img_Multi(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))), F.Filter_Gaussian(I)))))), F.Filter_Gaussian(I))))"
2,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Img_Div(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))), F.Img_Div(F.Sqrt_Image(F.DY(F.Half_Image(F.Img_Div(R, B)))), F.Img_Div(F.Img_Multi(F.Sqrt_Image(F.Sqrt_Image(F.Half_Image(F.Img_Div(R, B)))), F.Filter_Gaussian(I)), F.Img_Multi(F.Half_Image(F.Half_Image(F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))))), F.Filter_Gaussian(I)))))"
3,0.06258790347305697,0.032709888888888886,1.0,0.032709888888888886,0.06258790347305697,0.0,"F.Img_Div(F.Filter_Gaussian(F.Img_Div(R, B)), F.Img_Div(F.Img_Multi(F.Img_Div(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))), F.Exp_Image(I)), F.Filter_Gaussian(I)), F.Img_Multi(F.Half_Image(F.Half_Image(F.Log_Image(F.Log_Image(F.Img_Multi(F.DX(F.Log_Image(F.Half_Image(I))), F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))))))), F.Sqrt_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B)))))))"
4,0.0,0.0,0.0,0.9672901111111112,0.0,0.0,"F.Img_Div(F.Filter_Gaussian(F.Sqrt_Image(F.Filter_Gaussian(F.Sqrt_Image(F.Filter_Gaussian(F.Sqrt_Image(F.Sqrt_Image(F.Filter_Gaussian(F.Log_Image(F.Log_Image(F.Img_Div(R, B))))))))))), F.Sqrt_Image(F.Img_Div(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))), F.Img_Div(F.Img_Div(R, B), F.Exp_Image(I)))))"
5,0.2788989573446191,0.34728669953643915,0.6331075331614027,0.7883404444444443,0.2788989573446191,0.2429132116332249,"F.Img_Div(F.Filter_Gaussian(F.Log_Image(F.Img_Div(R, B))), F.Sqrt_Image(F.DY(F.Img_Multi(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))), F.Img_Div(F.Half_Image(F.Img_Div(R, B)), F.Img_Div(F.Img_Multi(F.Img_Sum(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Exp_Image(I)), F.Exp_Image(I)), F.Img_Div(R, B)))))))"
6,0.22516620647380692,0.38813602803691183,0.2943701736475239,0.945940111111111,0.22516620647380692,0.21723966613120324,"F.Img_Div(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))), F.Img_Div(F.Img_Multi(F.Img_Sum(F.Img_Div(F.Log_Image(F.Filter_Gaussian(F.Sqrt_Image(F.Log_Image(F.Img_Div(I, B))))), F.Sqrt_Image(F.Filter_Gaussian(F.Sqrt_Image(F.DY(F.Img_Multi(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))), F.Filter_Gaussian(I))))))), F.Exp_Image(I)), F.Log_Image(F.Img_Div(R, B))), F.Exp_Image(I)))"
7,0.0,0.0,0.0,0.9672901111111112,0.0,0.0,"F.Img_Div(F.Filter_Gaussian(F.Img_Div(F.Filter_Gaussian(F.Log_Image(F.Img_Div(B, G))), F.Img_Sum(I, R))), F.Log_Image(F.DY(F.Img_Multi(F.DY(F.Half_Image(F.Img_Div(G, B))), F.Exp_Image(F.Log_Image(F.Img_Multi(F.DY(F.Sqrt_Image(F.Img_Multi(F.Sqrt_Image(F.Filter_Gaussian(F.Half_Image(R))), F.Img_Sub(G, F.Img_Div(G, I))))), F.Exp_Image(R))))))))"
8,0.22516620647380692,0.38813602803691183,0.2943701736475239,0.945940111111111,0.22516620647380692,0.21723966613120324,"F.Img_Div(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))), F.Img_Div(F.Log_Image(F.Img_Div(R, B)), F.Img_Multi(F.Exp_Image(I), F.Sqrt_Image(F.Img_Div(R, B)))))"
9,0.22516620647380692,0.38813602803691183,0.2943701736475239,0.945940111111111,0.22516620647380692,0.21723966613120324,"F.Img_Div(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))), F.Img_Div(F.Img_Multi(F.Img_Sum(F.Img_Div(F.Img_Div(F.Log_Image(F.Img_Div(R, B)), F.Img_Div(R, B)), F.Sqrt_Image(F.Filter_Gaussian(F.Sqrt_Image(F.DY(F.Img_Multi(F.Filter_Gaussian(F.Half_Image(F.Img_Div(R, B))), F.Filter_Gaussian(I))))))), F.Exp_Image(I)), F.Exp_Image(I)), F.Filter_Gaussian(F.Sqrt_Image(F.Sqrt_Image(F.Img_Sub(F.Log_Image(F.Img_Div(R, B)), F.Img_Sub(G, G)))))))"
