Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.3611158410405901,0.3790083309359602,0.42858119839941156,0.9532251666666667,0.3611158410405901,0.3388136298154764,"F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian4(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(R, B))))))))))))"
1,0.3601079456945922,0.358307836341764,0.4541091909925541,0.9494235000000001,0.3601079456945922,0.3298033241050435,"F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(R, B)))))))))))"
2,0.20291432716065255,0.46302953591811014,0.15504085623544508,0.9660078888888889,0.20291432716065255,0.22490262160303184,"F.Log_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Half_Image(F.Filter_Gaussian4(F.Img_Div(R, B)))))))"
3,0.17160534188374788,0.4672538017412184,0.12173831794833888,0.9660583333333332,0.17160534188374782,0.19572612516800383,"F.Log_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(I, B)))))"
4,0.3558097906971564,0.3544164948995042,0.4466635045761313,0.9496088333333332,0.3558097906971564,0.32582660236979466,"F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(F.Filter_Gaussian4(F.Filter_Gaussian4(F.Img_Div(R, B))), F.Exp_Image(F.Half_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(I, B))))))))))))))"
5,0.3556875587682825,0.38681061963533353,0.4076103620526417,0.9547953888888889,0.3556875587682825,0.3374707037679028,"F.Log_Image(F.Filter_Gaussian4(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(R, B)))))))))"
6,0.06466899952517251,0.03524645266797865,0.5429101760827816,0.48009955555555556,0.06466899952517251,0.0027061256432589346,"F.Filter_Gaussian2(F.Log_Image(F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian3(F.Img_Div(R, B)), F.Filter_Gaussian4(F.Filter_Gaussian1(F.DY(G)))))))))"
7,0.2937968604813716,0.24066667317637547,0.455305449889578,0.9332641666666668,0.2937968604813716,0.2441798088487689,"F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Exp_Image(F.Half_Image(F.Exp_Image(F.Filter_Gaussian4(F.Filter_Gaussian4(F.Img_Div(R, B))))))))), F.Log_Image(F.Img_Div(R, B)))))))"
8,0.0008644331790180905,0.02846955128205128,0.00044421856521367336,0.9665265555555556,0.0008644331790180903,0.001219662006456782,"F.Log_Image(F.Filter_Gaussian4(F.Half_Image(F.Img_Div(R, B))))"
9,0.06402455842866246,0.03348722222222222,1.0,0.03348722222222222,0.06402455842866246,0.0,"F.Sqrt_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Img_Div(REG, NIR), F.Exp_Image(F.Exp_Image(F.Img_Div(B, B)))))))"
10,0.00472268013143325,0.26189915932890423,0.0023932833648160835,0.9663963333333334,0.00472268013143325,0.006160068332836266,"F.Log_Image(F.Half_Image(F.Half_Image(F.Img_Div(R, B))))"
11,0.0,0.0,0.0,0.9665127777777778,0.0,0.0,"F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian4(F.Filter_Gaussian4(F.Filter_Gaussian4(F.Img_Div(R, B)))), F.Exp_Image(F.Filter_Gaussian1(F.Exp_Image(F.Filter_Gaussian4(F.Img_Div(R, B))))))))))"
12,0.0,0.0,0.0,0.9665127777777778,0.0,0.0,"F.Log_Image(F.Half_Image(F.Half_Image(F.Half_Image(F.Filter_Gaussian4(F.Img_Div(R, B))))))"
13,0.32353410541363736,0.426707747020493,0.32393218595604045,0.9584132222222221,0.32353410541363736,0.32189664505196347,"F.Filter_Gaussian4(F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Img_Div(R, B), F.Exp_Image(F.Half_Image(F.Img_Div(R, B)))))))))"
14,0.3507952809564786,0.3519667020441535,0.43604805077963404,0.9496137222222223,0.3507952809564786,0.32164142687767056,"F.Log_Image(F.Half_Image(F.Filter_Gaussian1(F.Exp_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(R, B)), F.Exp_Image(F.Half_Image(F.Img_Div(I, B)))))))))))"
15,0.0007942820177341295,0.020744779616248085,0.00040789234998376054,0.9658953333333333,0.0007942820177341295,-0.0006354674064016141,"F.Log_Image(F.Filter_Gaussian2(F.DY(F.Img_Div(F.Img_Div(F.DX(F.Img_Sub(F.Half_Image(F.Exp_Image(F.Img_Sub(F.Img_Sum(I, B), F.DY(I)))), F.Img_Div(G, F.Filter_Gaussian2(R)))), F.Img_Multi(F.Half_Image(F.Img_Div(F.Filter_Gaussian4(F.Img_Div(G, I)), F.Exp_Image(F.Half_Image(F.Filter_Gaussian4(F.Exp_Image(G)))))), F.Half_Image(G))), F.Img_Sub(NIR, NIR)))))"
