Individual,Fitess,Precision,Recall,Tree
0,0.0657931470899664,0.03650770027968915,0.49790174537565884,"Funciones.DY (Funciones.Img_Multi (R , G ) )"
1,0.04024326303728691,0.03303154059716916,0.5599970862870536,"Funciones.Img_Div (Funciones.Img_Div (Funciones.Img_Sum (Funciones.DX (B ) , R ) , Funciones.Img_Sum (Funciones.Img_Sum (Funciones.Filter_Gaussian (Funciones.Filter_Gaussian (Funciones.Img_Sub (Funciones.Filter_Gaussian (Funciones.Img_Sum (G , G ) ) , I ) ) ) , R ) , Funciones.Img_Multi (Funciones.Filter_Gaussian (Funciones.DX (Funciones.Filter_Gaussian (G ) ) ) , Funciones.Img_Div (I , G ) ) ) ) , Funciones.Filter_Gaussian (R ) )"
2,0.06621276572053408,0.0365854256745956,0.4892801434419562,Funciones.DY (R )
3,0.07057187646399692,0.04028391450069473,0.4168426313761822,"Funciones.Filter_Gaussian (Funciones.Img_Sum (R , I ) )"
4,0.06608039752563463,0.037003804366619035,0.4516976942780417,"Funciones.Filter_Gaussian (Funciones.Filter_Gaussian (Funciones.Img_Div (Funciones.DY (R ) , Funciones.Img_Sum (I , I ) ) ) )"
5,0.061545759602738226,0.033144018449259384,0.6099139621836458,"Funciones.Img_Multi (Funciones.DY (Funciones.DY (Funciones.Filter_Gaussian (B ) ) ) , G )"
6,0.06665357862410033,0.036779036623716316,0.5041819513832646,Funciones.DX (G )
7,0.07793780014213092,0.044997428078978816,0.43175939664657925,Funciones.Filter_Gaussian (R )
8,0.03422998062889411,0.03818308723551891,0.46906280036493414,"Funciones.Img_Multi (Funciones.Img_Div (Funciones.Img_Multi (R , B ) , Funciones.Filter_Gaussian (Funciones.Img_Sub (R , I ) ) ) , Funciones.Img_Sum (Funciones.Img_Div (Funciones.DX (R ) , I ) , Funciones.DX (I ) ) )"
9,0.06418980446007691,0.036406754208035116,0.397375448298083,Funciones.Filter_Gaussian (I )
