Individual,Fitness,Precision,Recall,Tree
0,0.06022107180728319,0.03389990407836417,0.3935493056546134,"Funciones.Img_Multi (Funciones.Filter_Gaussian (Funciones.Img_Div (I , R ) ) , G )"
1,0.0,0.0,0.0,"Funciones.Filter_Gaussian (Funciones.DY (Funciones.Img_Sub (R , R ) ) )"
2,0.1766574053007148,0.1126002792972252,0.894291584765779,"Funciones.Img_Sub (I , B )"
3,0.03424259257158328,0.03404341703699382,0.5200861800933742,"Funciones.Img_Sum (Funciones.Img_Div (Funciones.Img_Multi (R , G ) , G ) , Funciones.Img_Div (R , Funciones.DX (Funciones.Img_Div (B , G ) ) ) )"
4,0.06529573726028648,0.038227479131946435,0.3255654885318804,"Funciones.Img_Multi (I , G )"
5,0.0689987812642246,0.038303107813398,0.45630091862652733,"Funciones.Img_Sub (Funciones.DX (G ) , R )"
6,0.06606745673814929,0.036366741413719386,0.5359641103360608,"Funciones.Img_Sum (R , Funciones.Img_Sum (Funciones.Img_Sub (B , I ) , Funciones.Img_Sub (R , Funciones.DY (Funciones.Img_Multi (B , Funciones.Img_Div (Funciones.Img_Div (R , Funciones.Img_Div (I , B ) ) , R ) ) ) ) ) )"
7,0.059614222452944184,0.03278592533404009,0.4784867150708809,"Funciones.Img_Sub (B , Funciones.DX (Funciones.Filter_Gaussian (G ) ) )"
8,0.0,0.0,0.0,"Funciones.Img_Sub (B , B )"
9,0.07051813938085744,0.040040756665447444,0.45743383358360146,"Funciones.Img_Sum (Funciones.Img_Sum (Funciones.Img_Multi (Funciones.DY (Funciones.DX (Funciones.Img_Div (G , Funciones.Img_Multi (Funciones.DX (G ) , R ) ) ) ) , I ) , Funciones.DY (Funciones.Filter_Gaussian (G ) ) ) , Funciones.Img_Multi (Funciones.Img_Sub (Funciones.Img_Sum (Funciones.Img_Sum (Funciones.Img_Multi (R , I ) , I ) , R ) , Funciones.DY (Funciones.Img_Multi (R , Funciones.Img_Sum (R , R ) ) ) ) , G ) )"
Average,0.06016154067760433,,,
Max,0.1766574053007148,,,2
